,time,value
0,00-00-00,13
1,00-30-00,10
2,01-00-00,10
3,01-30-00,12
4,02-00-00,8
5,02-30-00,4
6,03-00-00,2
7,03-30-00,3
8,04-00-00,2
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,6
13,06-30-00,11
14,07-00-00,41
15,07-30-00,221
16,08-00-00,282
17,08-30-00,251
18,09-00-00,228
19,09-30-00,235
20,10-00-00,116
21,10-30-00,151
22,11-00-00,123
23,11-30-00,176
24,12-00-00,155
25,12-30-00,163
26,13-00-00,132
27,13-30-00,260
28,14-00-00,118
29,14-30-00,134
30,15-00-00,141
31,15-30-00,227
32,16-00-00,166
33,16-30-00,150
34,17-00-00,220
35,17-30-00,331
36,18-00-00,202
37,18-30-00,150
38,19-00-00,129
39,19-30-00,151
40,20-00-00,103
41,20-30-00,147
42,21-00-00,176
43,21-30-00,157
44,22-00-00,84
45,22-30-00,44
46,23-00-00,53
47,23-30-00,29
