,time,value
0,00-00-00,9
1,00-30-00,3
2,01-00-00,2
3,01-30-00,0
4,02-00-00,3
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,7
14,07-00-00,11
15,07-30-00,67
16,08-00-00,143
17,08-30-00,261
18,09-00-00,179
19,09-30-00,175
20,10-00-00,80
21,10-30-00,106
22,11-00-00,54
23,11-30-00,86
24,12-00-00,116
25,12-30-00,137
26,13-00-00,116
27,13-30-00,114
28,14-00-00,88
29,14-30-00,55
30,15-00-00,83
31,15-30-00,66
32,16-00-00,66
33,16-30-00,102
34,17-00-00,108
35,17-30-00,154
36,18-00-00,147
37,18-30-00,124
38,19-00-00,100
39,19-30-00,41
40,20-00-00,45
41,20-30-00,27
42,21-00-00,52
43,21-30-00,34
44,22-00-00,50
45,22-30-00,36
46,23-00-00,11
47,23-30-00,10
