,time,value
0,00-00-00,25
1,00-30-00,13
2,01-00-00,31
3,01-30-00,12
4,02-00-00,13
5,02-30-00,7
6,03-00-00,4
7,03-30-00,4
8,04-00-00,1
9,04-30-00,13
10,05-00-00,3
11,05-30-00,3
12,06-00-00,3
13,06-30-00,4
14,07-00-00,11
15,07-30-00,11
16,08-00-00,121
17,08-30-00,94
18,09-00-00,76
19,09-30-00,72
20,10-00-00,79
21,10-30-00,95
22,11-00-00,54
23,11-30-00,68
24,12-00-00,73
25,12-30-00,84
26,13-00-00,74
27,13-30-00,49
28,14-00-00,84
29,14-30-00,56
30,15-00-00,57
31,15-30-00,77
32,16-00-00,63
33,16-30-00,67
34,17-00-00,65
35,17-30-00,57
36,18-00-00,76
37,18-30-00,50
38,19-00-00,46
39,19-30-00,60
40,20-00-00,42
41,20-30-00,22
42,21-00-00,20
43,21-30-00,25
44,22-00-00,21
45,22-30-00,11
46,23-00-00,11
47,23-30-00,4
