,time,value
0,00-00-00,8
1,00-30-00,8
2,01-00-00,11
3,01-30-00,9
4,02-00-00,14
5,02-30-00,5
6,03-00-00,3
7,03-30-00,2
8,04-00-00,2
9,04-30-00,1
10,05-00-00,2
11,05-30-00,0
12,06-00-00,0
13,06-30-00,4
14,07-00-00,1
15,07-30-00,5
16,08-00-00,14
17,08-30-00,18
18,09-00-00,30
19,09-30-00,24
20,10-00-00,31
21,10-30-00,33
22,11-00-00,42
23,11-30-00,41
24,12-00-00,20
25,12-30-00,23
26,13-00-00,30
27,13-30-00,30
28,14-00-00,24
29,14-30-00,18
30,15-00-00,30
31,15-30-00,13
32,16-00-00,23
33,16-30-00,16
34,17-00-00,36
35,17-30-00,23
36,18-00-00,32
37,18-30-00,23
38,19-00-00,33
39,19-30-00,24
40,20-00-00,22
41,20-30-00,36
42,21-00-00,19
43,21-30-00,34
44,22-00-00,13
45,22-30-00,17
46,23-00-00,22
47,23-30-00,6
