,time,value
0,00-00-00,1
1,00-30-00,13
2,01-00-00,3
3,01-30-00,1
4,02-00-00,5
5,02-30-00,1
6,03-00-00,2
7,03-30-00,1
8,04-00-00,3
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,3
13,06-30-00,8
14,07-00-00,25
15,07-30-00,44
16,08-00-00,173
17,08-30-00,269
18,09-00-00,211
19,09-30-00,177
20,10-00-00,98
21,10-30-00,102
22,11-00-00,64
23,11-30-00,114
24,12-00-00,156
25,12-30-00,104
26,13-00-00,120
27,13-30-00,122
28,14-00-00,103
29,14-30-00,87
30,15-00-00,98
31,15-30-00,92
32,16-00-00,69
33,16-30-00,118
34,17-00-00,103
35,17-30-00,151
36,18-00-00,180
37,18-30-00,107
38,19-00-00,107
39,19-30-00,94
40,20-00-00,49
41,20-30-00,54
42,21-00-00,37
43,21-30-00,30
44,22-00-00,58
45,22-30-00,36
46,23-00-00,36
47,23-30-00,21
