,time,value
0,00-00-00,26
1,00-30-00,21
2,01-00-00,7
3,01-30-00,0
4,02-00-00,7
5,02-30-00,0
6,03-00-00,0
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,3
13,06-30-00,12
14,07-00-00,48
15,07-30-00,296
16,08-00-00,293
17,08-30-00,221
18,09-00-00,130
19,09-30-00,261
20,10-00-00,136
21,10-30-00,121
22,11-00-00,97
23,11-30-00,170
24,12-00-00,155
25,12-30-00,143
26,13-00-00,134
27,13-30-00,149
28,14-00-00,112
29,14-30-00,145
30,15-00-00,126
31,15-30-00,280
32,16-00-00,102
33,16-30-00,77
34,17-00-00,193
35,17-30-00,254
36,18-00-00,232
37,18-30-00,162
38,19-00-00,134
39,19-30-00,128
40,20-00-00,67
41,20-30-00,138
42,21-00-00,176
43,21-30-00,162
44,22-00-00,92
45,22-30-00,70
46,23-00-00,45
47,23-30-00,16
