,time,value
0,00-00-00,18
1,00-30-00,8
2,01-00-00,10
3,01-30-00,4
4,02-00-00,0
5,02-30-00,4
6,03-00-00,1
7,03-30-00,0
8,04-00-00,3
9,04-30-00,1
10,05-00-00,7
11,05-30-00,2
12,06-00-00,0
13,06-30-00,9
14,07-00-00,37
15,07-30-00,287
16,08-00-00,180
17,08-30-00,248
18,09-00-00,197
19,09-30-00,290
20,10-00-00,137
21,10-30-00,135
22,11-00-00,109
23,11-30-00,218
24,12-00-00,91
25,12-30-00,91
26,13-00-00,126
27,13-30-00,187
28,14-00-00,119
29,14-30-00,168
30,15-00-00,123
31,15-30-00,219
32,16-00-00,132
33,16-30-00,103
34,17-00-00,154
35,17-30-00,224
36,18-00-00,197
37,18-30-00,167
38,19-00-00,117
39,19-30-00,154
40,20-00-00,121
41,20-30-00,208
42,21-00-00,232
43,21-30-00,150
44,22-00-00,129
45,22-30-00,76
46,23-00-00,33
47,23-30-00,22
