,time,value
0,00-00-00,21
1,00-30-00,11
2,01-00-00,4
3,01-30-00,7
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,3
15,07-30-00,30
16,08-00-00,31
17,08-30-00,112
18,09-00-00,85
19,09-30-00,48
20,10-00-00,83
21,10-30-00,69
22,11-00-00,28
23,11-30-00,62
24,12-00-00,56
25,12-30-00,62
26,13-00-00,40
27,13-30-00,52
28,14-00-00,24
29,14-30-00,48
30,15-00-00,33
31,15-30-00,40
32,16-00-00,22
33,16-30-00,30
34,17-00-00,38
35,17-30-00,65
36,18-00-00,103
37,18-30-00,81
38,19-00-00,47
39,19-30-00,31
40,20-00-00,29
41,20-30-00,29
42,21-00-00,34
43,21-30-00,37
44,22-00-00,29
45,22-30-00,26
46,23-00-00,24
47,23-30-00,11
