,time,value
0,00-00-00,12
1,00-30-00,13
2,01-00-00,6
3,01-30-00,6
4,02-00-00,13
5,02-30-00,6
6,03-00-00,5
7,03-30-00,5
8,04-00-00,5
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,10
15,07-30-00,3
16,08-00-00,4
17,08-30-00,34
18,09-00-00,32
19,09-30-00,23
20,10-00-00,17
21,10-30-00,22
22,11-00-00,13
23,11-30-00,25
24,12-00-00,29
25,12-30-00,47
26,13-00-00,41
27,13-30-00,35
28,14-00-00,32
29,14-30-00,25
30,15-00-00,17
31,15-30-00,20
32,16-00-00,14
33,16-30-00,23
34,17-00-00,29
35,17-30-00,34
36,18-00-00,36
37,18-30-00,44
38,19-00-00,20
39,19-30-00,19
40,20-00-00,30
41,20-30-00,19
42,21-00-00,10
43,21-30-00,8
44,22-00-00,11
45,22-30-00,9
46,23-00-00,15
47,23-30-00,12
