,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,1
3,01-30-00,0
4,02-00-00,2
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,0
14,07-00-00,2
15,07-30-00,1
16,08-00-00,4
17,08-30-00,2
18,09-00-00,4
19,09-30-00,2
20,10-00-00,5
21,10-30-00,12
22,11-00-00,9
23,11-30-00,20
24,12-00-00,25
25,12-30-00,13
26,13-00-00,18
27,13-30-00,7
28,14-00-00,9
29,14-30-00,11
30,15-00-00,6
31,15-30-00,8
32,16-00-00,12
33,16-30-00,13
34,17-00-00,18
35,17-30-00,22
36,18-00-00,25
37,18-30-00,12
38,19-00-00,22
39,19-30-00,9
40,20-00-00,10
41,20-30-00,10
42,21-00-00,12
43,21-30-00,16
44,22-00-00,6
45,22-30-00,8
46,23-00-00,11
47,23-30-00,2
