,time,value
0,00-00-00,6
1,00-30-00,6
2,01-00-00,4
3,01-30-00,2
4,02-00-00,2
5,02-30-00,1
6,03-00-00,1
7,03-30-00,2
8,04-00-00,2
9,04-30-00,2
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,2
14,07-00-00,4
15,07-30-00,13
16,08-00-00,11
17,08-30-00,17
18,09-00-00,13
19,09-30-00,6
20,10-00-00,9
21,10-30-00,6
22,11-00-00,6
23,11-30-00,4
24,12-00-00,22
25,12-30-00,12
26,13-00-00,9
27,13-30-00,6
28,14-00-00,4
29,14-30-00,12
30,15-00-00,3
31,15-30-00,6
32,16-00-00,4
33,16-30-00,13
34,17-00-00,10
35,17-30-00,29
36,18-00-00,16
37,18-30-00,10
38,19-00-00,8
39,19-30-00,10
40,20-00-00,13
41,20-30-00,8
42,21-00-00,8
43,21-30-00,10
44,22-00-00,16
45,22-30-00,20
46,23-00-00,14
47,23-30-00,6
