,time,value
0,00-00-00,6
1,00-30-00,6
2,01-00-00,3
3,01-30-00,4
4,02-00-00,0
5,02-30-00,1
6,03-00-00,0
7,03-30-00,3
8,04-00-00,0
9,04-30-00,2
10,05-00-00,14
11,05-30-00,4
12,06-00-00,0
13,06-30-00,10
14,07-00-00,5
15,07-30-00,35
16,08-00-00,25
17,08-30-00,59
18,09-00-00,61
19,09-30-00,41
20,10-00-00,26
21,10-30-00,38
22,11-00-00,26
23,11-30-00,56
24,12-00-00,47
25,12-30-00,62
26,13-00-00,49
27,13-30-00,47
28,14-00-00,40
29,14-30-00,49
30,15-00-00,38
31,15-30-00,55
32,16-00-00,20
33,16-30-00,37
34,17-00-00,47
35,17-30-00,73
36,18-00-00,78
37,18-30-00,70
38,19-00-00,69
39,19-30-00,51
40,20-00-00,21
41,20-30-00,35
42,21-00-00,20
43,21-30-00,32
44,22-00-00,21
45,22-30-00,18
46,23-00-00,25
47,23-30-00,6
