,time,value
0,00-00-00,2
1,00-30-00,2
2,01-00-00,5
3,01-30-00,0
4,02-00-00,2
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,3
15,07-30-00,25
16,08-00-00,14
17,08-30-00,9
18,09-00-00,15
19,09-30-00,12
20,10-00-00,4
21,10-30-00,13
22,11-00-00,6
23,11-30-00,26
24,12-00-00,6
25,12-30-00,10
26,13-00-00,10
27,13-30-00,6
28,14-00-00,5
29,14-30-00,10
30,15-00-00,6
31,15-30-00,5
32,16-00-00,8
33,16-30-00,4
34,17-00-00,7
35,17-30-00,16
36,18-00-00,23
37,18-30-00,16
38,19-00-00,12
39,19-30-00,9
40,20-00-00,5
41,20-30-00,14
42,21-00-00,15
43,21-30-00,28
44,22-00-00,11
45,22-30-00,29
46,23-00-00,14
47,23-30-00,2
