,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,3
12,06-00-00,2
13,06-30-00,0
14,07-00-00,2
15,07-30-00,7
16,08-00-00,17
17,08-30-00,26
18,09-00-00,13
19,09-30-00,8
20,10-00-00,5
21,10-30-00,13
22,11-00-00,4
23,11-30-00,7
24,12-00-00,29
25,12-30-00,23
26,13-00-00,12
27,13-30-00,10
28,14-00-00,7
29,14-30-00,2
30,15-00-00,18
31,15-30-00,33
32,16-00-00,57
33,16-30-00,29
34,17-00-00,55
35,17-30-00,49
36,18-00-00,60
37,18-30-00,27
38,19-00-00,28
39,19-30-00,19
40,20-00-00,6
41,20-30-00,13
42,21-00-00,54
43,21-30-00,29
44,22-00-00,12
45,22-30-00,2
46,23-00-00,0
47,23-30-00,2
