,time,value
0,00-00-00,4
1,00-30-00,0
2,01-00-00,3
3,01-30-00,1
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,5
15,07-30-00,4
16,08-00-00,14
17,08-30-00,42
18,09-00-00,39
19,09-30-00,20
20,10-00-00,25
21,10-30-00,21
22,11-00-00,50
23,11-30-00,74
24,12-00-00,64
25,12-30-00,56
26,13-00-00,51
27,13-30-00,42
28,14-00-00,43
29,14-30-00,45
30,15-00-00,61
31,15-30-00,27
32,16-00-00,57
33,16-30-00,55
34,17-00-00,113
35,17-30-00,80
36,18-00-00,89
37,18-30-00,86
38,19-00-00,55
39,19-30-00,56
40,20-00-00,106
41,20-30-00,72
42,21-00-00,55
43,21-30-00,43
44,22-00-00,49
45,22-30-00,30
46,23-00-00,20
47,23-30-00,11
