,time,value
0,00-00-00,16
1,00-30-00,10
2,01-00-00,19
3,01-30-00,13
4,02-00-00,8
5,02-30-00,1
6,03-00-00,3
7,03-30-00,5
8,04-00-00,1
9,04-30-00,9
10,05-00-00,6
11,05-30-00,3
12,06-00-00,1
13,06-30-00,1
14,07-00-00,27
15,07-30-00,5
16,08-00-00,25
17,08-30-00,47
18,09-00-00,41
19,09-30-00,60
20,10-00-00,57
21,10-30-00,64
22,11-00-00,71
23,11-30-00,64
24,12-00-00,67
25,12-30-00,94
26,13-00-00,89
27,13-30-00,53
28,14-00-00,53
29,14-30-00,40
30,15-00-00,58
31,15-30-00,65
32,16-00-00,70
33,16-30-00,119
34,17-00-00,88
35,17-30-00,109
36,18-00-00,88
37,18-30-00,59
38,19-00-00,39
39,19-30-00,61
40,20-00-00,72
41,20-30-00,46
42,21-00-00,32
43,21-30-00,36
44,22-00-00,35
45,22-30-00,22
46,23-00-00,22
47,23-30-00,16
