,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,5
3,01-30-00,0
4,02-00-00,1
5,02-30-00,1
6,03-00-00,3
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,1
11,05-30-00,1
12,06-00-00,1
13,06-30-00,1
14,07-00-00,2
15,07-30-00,4
16,08-00-00,5
17,08-30-00,12
18,09-00-00,15
19,09-30-00,26
20,10-00-00,38
21,10-30-00,16
22,11-00-00,19
23,11-30-00,26
24,12-00-00,65
25,12-30-00,25
26,13-00-00,22
27,13-30-00,16
28,14-00-00,19
29,14-30-00,30
30,15-00-00,22
31,15-30-00,30
32,16-00-00,39
33,16-30-00,31
34,17-00-00,37
35,17-30-00,48
36,18-00-00,40
37,18-30-00,28
38,19-00-00,30
39,19-30-00,31
40,20-00-00,22
41,20-30-00,21
42,21-00-00,14
43,21-30-00,55
44,22-00-00,22
45,22-30-00,9
46,23-00-00,19
47,23-30-00,9
