,time,value
0,00-00-00,1
1,00-30-00,0
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,10
15,07-30-00,5
16,08-00-00,36
17,08-30-00,56
18,09-00-00,23
19,09-30-00,36
20,10-00-00,17
21,10-30-00,23
22,11-00-00,50
23,11-30-00,66
24,12-00-00,66
25,12-30-00,54
26,13-00-00,41
27,13-30-00,26
28,14-00-00,25
29,14-30-00,39
30,15-00-00,45
31,15-30-00,68
32,16-00-00,91
33,16-30-00,65
34,17-00-00,65
35,17-30-00,120
36,18-00-00,98
37,18-30-00,93
38,19-00-00,70
39,19-30-00,71
40,20-00-00,74
41,20-30-00,64
42,21-00-00,44
43,21-30-00,40
44,22-00-00,56
45,22-30-00,27
46,23-00-00,28
47,23-30-00,6
