,time,value
0,00-00-00,9
1,00-30-00,7
2,01-00-00,6
3,01-30-00,0
4,02-00-00,3
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,0
14,07-00-00,24
15,07-30-00,115
16,08-00-00,107
17,08-30-00,143
18,09-00-00,92
19,09-30-00,139
20,10-00-00,71
21,10-30-00,79
22,11-00-00,66
23,11-30-00,180
24,12-00-00,227
25,12-30-00,139
26,13-00-00,97
27,13-30-00,107
28,14-00-00,101
29,14-30-00,124
30,15-00-00,126
31,15-30-00,346
32,16-00-00,154
33,16-30-00,114
34,17-00-00,268
35,17-30-00,380
36,18-00-00,298
37,18-30-00,174
38,19-00-00,145
39,19-30-00,224
40,20-00-00,143
41,20-30-00,356
42,21-00-00,249
43,21-30-00,205
44,22-00-00,113
45,22-30-00,91
46,23-00-00,46
47,23-30-00,21
