,time,value
0,00-00-00,10
1,00-30-00,8
2,01-00-00,6
3,01-30-00,5
4,02-00-00,2
5,02-30-00,4
6,03-00-00,4
7,03-30-00,1
8,04-00-00,3
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,5
13,06-30-00,4
14,07-00-00,15
15,07-30-00,12
16,08-00-00,50
17,08-30-00,42
18,09-00-00,29
19,09-30-00,27
20,10-00-00,18
21,10-30-00,16
22,11-00-00,15
23,11-30-00,21
24,12-00-00,44
25,12-30-00,37
26,13-00-00,37
27,13-30-00,30
28,14-00-00,14
29,14-30-00,18
30,15-00-00,9
31,15-30-00,13
32,16-00-00,16
33,16-30-00,26
34,17-00-00,30
35,17-30-00,50
36,18-00-00,72
37,18-30-00,56
38,19-00-00,41
39,19-30-00,43
40,20-00-00,46
41,20-30-00,26
42,21-00-00,34
43,21-30-00,33
44,22-00-00,25
45,22-30-00,30
46,23-00-00,17
47,23-30-00,9
