,time,value
0,00-00-00,1
1,00-30-00,3
2,01-00-00,1
3,01-30-00,3
4,02-00-00,2
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,5
14,07-00-00,9
15,07-30-00,27
16,08-00-00,35
17,08-30-00,39
18,09-00-00,51
19,09-30-00,50
20,10-00-00,17
21,10-30-00,24
22,11-00-00,14
23,11-30-00,26
24,12-00-00,20
25,12-30-00,31
26,13-00-00,51
27,13-30-00,30
28,14-00-00,30
29,14-30-00,28
30,15-00-00,22
31,15-30-00,26
32,16-00-00,18
33,16-30-00,22
34,17-00-00,23
35,17-30-00,43
36,18-00-00,70
37,18-30-00,64
38,19-00-00,48
39,19-30-00,44
40,20-00-00,26
41,20-30-00,33
42,21-00-00,22
43,21-30-00,26
44,22-00-00,43
45,22-30-00,29
46,23-00-00,21
47,23-30-00,9
