,time,value
0,00-00-00,18
1,00-30-00,23
2,01-00-00,5
3,01-30-00,8
4,02-00-00,6
5,02-30-00,15
6,03-00-00,5
7,03-30-00,1
8,04-00-00,0
9,04-30-00,2
10,05-00-00,0
11,05-30-00,1
12,06-00-00,4
13,06-30-00,9
14,07-00-00,3
15,07-30-00,8
16,08-00-00,21
17,08-30-00,34
18,09-00-00,21
19,09-30-00,23
20,10-00-00,23
21,10-30-00,16
22,11-00-00,28
23,11-30-00,16
24,12-00-00,28
25,12-30-00,36
26,13-00-00,32
27,13-30-00,27
28,14-00-00,15
29,14-30-00,13
30,15-00-00,24
31,15-30-00,17
32,16-00-00,6
33,16-30-00,14
34,17-00-00,25
35,17-30-00,23
36,18-00-00,17
37,18-30-00,17
38,19-00-00,21
39,19-30-00,33
40,20-00-00,25
41,20-30-00,22
42,21-00-00,34
43,21-30-00,31
44,22-00-00,23
45,22-30-00,21
46,23-00-00,12
47,23-30-00,8
