,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,7
3,01-30-00,1
4,02-00-00,4
5,02-30-00,7
6,03-00-00,1
7,03-30-00,1
8,04-00-00,2
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,0
13,06-30-00,0
14,07-00-00,2
15,07-30-00,0
16,08-00-00,4
17,08-30-00,9
18,09-00-00,16
19,09-30-00,8
20,10-00-00,12
21,10-30-00,13
22,11-00-00,10
23,11-30-00,16
24,12-00-00,9
25,12-30-00,13
26,13-00-00,15
27,13-30-00,8
28,14-00-00,10
29,14-30-00,15
30,15-00-00,5
31,15-30-00,7
32,16-00-00,10
33,16-30-00,14
34,17-00-00,14
35,17-30-00,25
36,18-00-00,30
37,18-30-00,26
38,19-00-00,30
39,19-30-00,18
40,20-00-00,4
41,20-30-00,21
42,21-00-00,13
43,21-30-00,12
44,22-00-00,14
45,22-30-00,8
46,23-00-00,9
47,23-30-00,13
