,time,value
0,00-00-00,28
1,00-30-00,24
2,01-00-00,32
3,01-30-00,11
4,02-00-00,14
5,02-30-00,2
6,03-00-00,7
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,4
11,05-30-00,0
12,06-00-00,2
13,06-30-00,2
14,07-00-00,7
15,07-30-00,56
16,08-00-00,56
17,08-30-00,71
18,09-00-00,52
19,09-30-00,64
20,10-00-00,18
21,10-30-00,15
22,11-00-00,22
23,11-30-00,50
24,12-00-00,52
25,12-30-00,42
26,13-00-00,46
27,13-30-00,46
28,14-00-00,48
29,14-30-00,33
30,15-00-00,27
31,15-30-00,34
32,16-00-00,38
33,16-30-00,29
34,17-00-00,34
35,17-30-00,67
36,18-00-00,89
37,18-30-00,78
38,19-00-00,60
39,19-30-00,79
40,20-00-00,71
41,20-30-00,87
42,21-00-00,84
43,21-30-00,115
44,22-00-00,107
45,22-30-00,50
46,23-00-00,66
47,23-30-00,27
