,time,value
0,00-00-00,7
1,00-30-00,11
2,01-00-00,6
3,01-30-00,6
4,02-00-00,1
5,02-30-00,4
6,03-00-00,1
7,03-30-00,2
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,2
13,06-30-00,6
14,07-00-00,9
15,07-30-00,12
16,08-00-00,24
17,08-30-00,43
18,09-00-00,28
19,09-30-00,39
20,10-00-00,27
21,10-30-00,17
22,11-00-00,15
23,11-30-00,29
24,12-00-00,20
25,12-30-00,33
26,13-00-00,39
27,13-30-00,26
28,14-00-00,12
29,14-30-00,9
30,15-00-00,11
31,15-30-00,12
32,16-00-00,17
33,16-30-00,25
34,17-00-00,22
35,17-30-00,33
36,18-00-00,80
37,18-30-00,50
38,19-00-00,50
39,19-30-00,46
40,20-00-00,35
41,20-30-00,53
42,21-00-00,38
43,21-30-00,39
44,22-00-00,25
45,22-30-00,35
46,23-00-00,25
47,23-30-00,20
