,time,value
0,00-00-00,22
1,00-30-00,19
2,01-00-00,10
3,01-30-00,10
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,2
10,05-00-00,0
11,05-30-00,3
12,06-00-00,4
13,06-30-00,5
14,07-00-00,17
15,07-30-00,44
16,08-00-00,56
17,08-30-00,55
18,09-00-00,74
19,09-30-00,68
20,10-00-00,17
21,10-30-00,18
22,11-00-00,29
23,11-30-00,26
24,12-00-00,49
25,12-30-00,26
26,13-00-00,24
27,13-30-00,14
28,14-00-00,7
29,14-30-00,12
30,15-00-00,22
31,15-30-00,42
32,16-00-00,43
33,16-30-00,24
34,17-00-00,38
35,17-30-00,57
36,18-00-00,65
37,18-30-00,54
38,19-00-00,61
39,19-30-00,83
40,20-00-00,51
41,20-30-00,77
42,21-00-00,129
43,21-30-00,64
44,22-00-00,56
45,22-30-00,71
46,23-00-00,65
47,23-30-00,31
