,time,value
0,00-00-00,1
1,00-30-00,1
2,01-00-00,0
3,01-30-00,1
4,02-00-00,2
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,3
13,06-30-00,0
14,07-00-00,12
15,07-30-00,27
16,08-00-00,54
17,08-30-00,70
18,09-00-00,66
19,09-30-00,52
20,10-00-00,23
21,10-30-00,18
22,11-00-00,25
23,11-30-00,10
24,12-00-00,15
25,12-30-00,10
26,13-00-00,9
27,13-30-00,14
28,14-00-00,6
29,14-30-00,11
30,15-00-00,15
31,15-30-00,17
32,16-00-00,10
33,16-30-00,14
34,17-00-00,16
35,17-30-00,22
36,18-00-00,19
37,18-30-00,27
38,19-00-00,25
39,19-30-00,14
40,20-00-00,11
41,20-30-00,9
42,21-00-00,15
43,21-30-00,7
44,22-00-00,5
45,22-30-00,12
46,23-00-00,7
47,23-30-00,6
