,time,value
0,00-00-00,7
1,00-30-00,1
2,01-00-00,0
3,01-30-00,1
4,02-00-00,0
5,02-30-00,2
6,03-00-00,0
7,03-30-00,1
8,04-00-00,3
9,04-30-00,0
10,05-00-00,0
11,05-30-00,3
12,06-00-00,0
13,06-30-00,3
14,07-00-00,0
15,07-30-00,9
16,08-00-00,21
17,08-30-00,18
18,09-00-00,19
19,09-30-00,26
20,10-00-00,22
21,10-30-00,21
22,11-00-00,29
23,11-30-00,18
24,12-00-00,25
25,12-30-00,29
26,13-00-00,19
27,13-30-00,17
28,14-00-00,20
29,14-30-00,10
30,15-00-00,15
31,15-30-00,21
32,16-00-00,23
33,16-30-00,14
34,17-00-00,17
35,17-30-00,20
36,18-00-00,17
37,18-30-00,25
38,19-00-00,23
39,19-30-00,24
40,20-00-00,18
41,20-30-00,26
42,21-00-00,22
43,21-30-00,20
44,22-00-00,17
45,22-30-00,5
46,23-00-00,4
47,23-30-00,0
