,time,value
0,00-00-00,8
1,00-30-00,2
2,01-00-00,3
3,01-30-00,0
4,02-00-00,5
5,02-30-00,1
6,03-00-00,0
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,3
13,06-30-00,1
14,07-00-00,7
15,07-30-00,5
16,08-00-00,16
17,08-30-00,13
18,09-00-00,11
19,09-30-00,21
20,10-00-00,21
21,10-30-00,29
22,11-00-00,10
23,11-30-00,18
24,12-00-00,24
25,12-30-00,14
26,13-00-00,9
27,13-30-00,13
28,14-00-00,15
29,14-30-00,11
30,15-00-00,10
31,15-30-00,27
32,16-00-00,22
33,16-30-00,23
34,17-00-00,29
35,17-30-00,13
36,18-00-00,17
37,18-30-00,22
38,19-00-00,32
39,19-30-00,17
40,20-00-00,17
41,20-30-00,20
42,21-00-00,21
43,21-30-00,13
44,22-00-00,10
45,22-30-00,8
46,23-00-00,6
47,23-30-00,5
