,time,value
0,00-00-00,3
1,00-30-00,0
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,1
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,3
12,06-00-00,5
13,06-30-00,3
14,07-00-00,22
15,07-30-00,37
16,08-00-00,93
17,08-30-00,117
18,09-00-00,89
19,09-30-00,55
20,10-00-00,49
21,10-30-00,37
22,11-00-00,22
23,11-30-00,25
24,12-00-00,15
25,12-30-00,25
26,13-00-00,17
27,13-30-00,22
28,14-00-00,11
29,14-30-00,19
30,15-00-00,18
31,15-30-00,21
32,16-00-00,18
33,16-30-00,19
34,17-00-00,36
35,17-30-00,43
36,18-00-00,56
37,18-30-00,47
38,19-00-00,33
39,19-30-00,31
40,20-00-00,27
41,20-30-00,29
42,21-00-00,25
43,21-30-00,26
44,22-00-00,11
45,22-30-00,18
46,23-00-00,6
47,23-30-00,3
