,time,value
0,00-00-00,2
1,00-30-00,0
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,1
12,06-00-00,1
13,06-30-00,4
14,07-00-00,17
15,07-30-00,33
16,08-00-00,80
17,08-30-00,90
18,09-00-00,69
19,09-30-00,72
20,10-00-00,39
21,10-30-00,29
22,11-00-00,17
23,11-30-00,23
24,12-00-00,11
25,12-30-00,16
26,13-00-00,17
27,13-30-00,15
28,14-00-00,12
29,14-30-00,14
30,15-00-00,14
31,15-30-00,20
32,16-00-00,20
33,16-30-00,12
34,17-00-00,28
35,17-30-00,43
36,18-00-00,66
37,18-30-00,40
38,19-00-00,33
39,19-30-00,20
40,20-00-00,27
41,20-30-00,14
42,21-00-00,18
43,21-30-00,27
44,22-00-00,10
45,22-30-00,16
46,23-00-00,5
47,23-30-00,6
