,time,value
0,00-00-00,4
1,00-30-00,2
2,01-00-00,6
3,01-30-00,4
4,02-00-00,2
5,02-30-00,1
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,4
13,06-30-00,3
14,07-00-00,26
15,07-30-00,39
16,08-00-00,85
17,08-30-00,107
18,09-00-00,67
19,09-30-00,73
20,10-00-00,24
21,10-30-00,40
22,11-00-00,30
23,11-30-00,23
24,12-00-00,19
25,12-30-00,14
26,13-00-00,11
27,13-30-00,1
28,14-00-00,7
29,14-30-00,8
30,15-00-00,15
31,15-30-00,15
32,16-00-00,8
33,16-30-00,22
34,17-00-00,21
35,17-30-00,56
36,18-00-00,51
37,18-30-00,60
38,19-00-00,35
39,19-30-00,30
40,20-00-00,18
41,20-30-00,47
42,21-00-00,30
43,21-30-00,17
44,22-00-00,20
45,22-30-00,15
46,23-00-00,8
47,23-30-00,3
