,time,value
0,00-00-00,2
1,00-30-00,1
2,01-00-00,4
3,01-30-00,0
4,02-00-00,1
5,02-30-00,0
6,03-00-00,2
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,2
13,06-30-00,3
14,07-00-00,6
15,07-30-00,39
16,08-00-00,98
17,08-30-00,86
18,09-00-00,62
19,09-30-00,105
20,10-00-00,71
21,10-30-00,31
22,11-00-00,40
23,11-30-00,80
24,12-00-00,49
25,12-30-00,43
26,13-00-00,30
27,13-30-00,75
28,14-00-00,46
29,14-30-00,40
30,15-00-00,16
31,15-30-00,75
32,16-00-00,51
33,16-30-00,30
34,17-00-00,29
35,17-30-00,131
36,18-00-00,101
37,18-30-00,37
38,19-00-00,41
39,19-30-00,54
40,20-00-00,42
41,20-30-00,51
42,21-00-00,65
43,21-30-00,51
44,22-00-00,51
45,22-30-00,35
46,23-00-00,45
47,23-30-00,11
