,time,value
0,00-00-00,1
1,00-30-00,1
2,01-00-00,1
3,01-30-00,0
4,02-00-00,1
5,02-30-00,2
6,03-00-00,1
7,03-30-00,1
8,04-00-00,1
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,1
13,06-30-00,0
14,07-00-00,2
15,07-30-00,0
16,08-00-00,1
17,08-30-00,4
18,09-00-00,6
19,09-30-00,5
20,10-00-00,7
21,10-30-00,10
22,11-00-00,5
23,11-30-00,5
24,12-00-00,10
25,12-30-00,4
26,13-00-00,2
27,13-30-00,6
28,14-00-00,10
29,14-30-00,4
30,15-00-00,5
31,15-30-00,1
32,16-00-00,9
33,16-30-00,3
34,17-00-00,7
35,17-30-00,9
36,18-00-00,5
37,18-30-00,6
38,19-00-00,9
39,19-30-00,11
40,20-00-00,8
41,20-30-00,5
42,21-00-00,20
43,21-30-00,12
44,22-00-00,9
45,22-30-00,14
46,23-00-00,17
47,23-30-00,4
