,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,4
3,01-30-00,8
4,02-00-00,4
5,02-30-00,3
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,2
11,05-30-00,1
12,06-00-00,1
13,06-30-00,1
14,07-00-00,13
15,07-30-00,86
16,08-00-00,128
17,08-30-00,59
18,09-00-00,65
19,09-30-00,138
20,10-00-00,59
21,10-30-00,43
22,11-00-00,40
23,11-30-00,107
24,12-00-00,45
25,12-30-00,42
26,13-00-00,46
27,13-30-00,78
28,14-00-00,30
29,14-30-00,25
30,15-00-00,32
31,15-30-00,46
32,16-00-00,57
33,16-30-00,27
34,17-00-00,56
35,17-30-00,114
36,18-00-00,65
37,18-30-00,41
38,19-00-00,42
39,19-30-00,57
40,20-00-00,33
41,20-30-00,41
42,21-00-00,53
43,21-30-00,60
44,22-00-00,75
45,22-30-00,64
46,23-00-00,23
47,23-30-00,6
