,time,value
0,00-00-00,6
1,00-30-00,3
2,01-00-00,2
3,01-30-00,1
4,02-00-00,0
5,02-30-00,1
6,03-00-00,1
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,6
13,06-30-00,11
14,07-00-00,35
15,07-30-00,245
16,08-00-00,264
17,08-30-00,194
18,09-00-00,121
19,09-30-00,364
20,10-00-00,85
21,10-30-00,134
22,11-00-00,98
23,11-30-00,219
24,12-00-00,199
25,12-30-00,169
26,13-00-00,135
27,13-30-00,261
28,14-00-00,181
29,14-30-00,161
30,15-00-00,96
31,15-30-00,259
32,16-00-00,139
33,16-30-00,184
34,17-00-00,208
35,17-30-00,272
36,18-00-00,204
37,18-30-00,196
38,19-00-00,211
39,19-30-00,198
40,20-00-00,112
41,20-30-00,161
42,21-00-00,234
43,21-30-00,278
44,22-00-00,161
45,22-30-00,110
46,23-00-00,68
47,23-30-00,24
