,time,value
0,00-00-00,8
1,00-30-00,3
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,1
13,06-30-00,7
14,07-00-00,15
15,07-30-00,18
16,08-00-00,25
17,08-30-00,96
18,09-00-00,68
19,09-30-00,65
20,10-00-00,67
21,10-30-00,79
22,11-00-00,110
23,11-30-00,134
24,12-00-00,89
25,12-30-00,137
26,13-00-00,59
27,13-30-00,38
28,14-00-00,69
29,14-30-00,53
30,15-00-00,50
31,15-30-00,63
32,16-00-00,93
33,16-30-00,87
34,17-00-00,114
35,17-30-00,72
36,18-00-00,29
37,18-30-00,51
38,19-00-00,53
39,19-30-00,40
40,20-00-00,26
41,20-30-00,28
42,21-00-00,33
43,21-30-00,40
44,22-00-00,21
45,22-30-00,31
46,23-00-00,35
47,23-30-00,5
