,time,value
0,00-00-00,5
1,00-30-00,6
2,01-00-00,0
3,01-30-00,3
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,2
12,06-00-00,5
13,06-30-00,8
14,07-00-00,21
15,07-30-00,48
16,08-00-00,46
17,08-30-00,44
18,09-00-00,16
19,09-30-00,17
20,10-00-00,22
21,10-30-00,23
22,11-00-00,14
23,11-30-00,15
24,12-00-00,33
25,12-30-00,33
26,13-00-00,31
27,13-30-00,24
28,14-00-00,15
29,14-30-00,23
30,15-00-00,18
31,15-30-00,20
32,16-00-00,12
33,16-30-00,26
34,17-00-00,25
35,17-30-00,48
36,18-00-00,49
37,18-30-00,32
38,19-00-00,50
39,19-30-00,42
40,20-00-00,52
41,20-30-00,36
42,21-00-00,38
43,21-30-00,26
44,22-00-00,51
45,22-30-00,39
46,23-00-00,37
47,23-30-00,6
