,time,value
0,00-00-00,3
1,00-30-00,1
2,01-00-00,0
3,01-30-00,1
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,3
10,05-00-00,0
11,05-30-00,2
12,06-00-00,6
13,06-30-00,6
14,07-00-00,53
15,07-30-00,299
16,08-00-00,188
17,08-30-00,150
18,09-00-00,85
19,09-30-00,256
20,10-00-00,73
21,10-30-00,75
22,11-00-00,76
23,11-30-00,152
24,12-00-00,89
25,12-30-00,86
26,13-00-00,96
27,13-30-00,138
28,14-00-00,73
29,14-30-00,63
30,15-00-00,275
31,15-30-00,223
32,16-00-00,79
33,16-30-00,63
34,17-00-00,97
35,17-30-00,263
36,18-00-00,169
37,18-30-00,158
38,19-00-00,106
39,19-30-00,243
40,20-00-00,68
41,20-30-00,75
42,21-00-00,113
43,21-30-00,499
44,22-00-00,213
45,22-30-00,89
46,23-00-00,29
47,23-30-00,8
