,time,value
0,00-00-00,12
1,00-30-00,3
2,01-00-00,1
3,01-30-00,1
4,02-00-00,0
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,10
15,07-30-00,37
16,08-00-00,105
17,08-30-00,137
18,09-00-00,120
19,09-30-00,100
20,10-00-00,60
21,10-30-00,76
22,11-00-00,81
23,11-30-00,63
24,12-00-00,113
25,12-30-00,74
26,13-00-00,68
27,13-30-00,71
28,14-00-00,53
29,14-30-00,54
30,15-00-00,60
31,15-30-00,48
32,16-00-00,49
33,16-30-00,51
34,17-00-00,105
35,17-30-00,166
36,18-00-00,142
37,18-30-00,102
38,19-00-00,94
39,19-30-00,68
40,20-00-00,50
41,20-30-00,42
42,21-00-00,40
43,21-30-00,39
44,22-00-00,35
45,22-30-00,46
46,23-00-00,16
47,23-30-00,9
