,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,2
3,01-30-00,2
4,02-00-00,1
5,02-30-00,0
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,19
15,07-30-00,31
16,08-00-00,106
17,08-30-00,125
18,09-00-00,127
19,09-30-00,105
20,10-00-00,64
21,10-30-00,43
22,11-00-00,61
23,11-30-00,98
24,12-00-00,79
25,12-30-00,80
26,13-00-00,62
27,13-30-00,82
28,14-00-00,65
29,14-30-00,55
30,15-00-00,58
31,15-30-00,49
32,16-00-00,54
33,16-30-00,78
34,17-00-00,87
35,17-30-00,119
36,18-00-00,145
37,18-30-00,123
38,19-00-00,113
39,19-30-00,74
40,20-00-00,68
41,20-30-00,50
42,21-00-00,44
43,21-30-00,85
44,22-00-00,92
45,22-30-00,36
46,23-00-00,30
47,23-30-00,6
