,time,value
0,00-00-00,22
1,00-30-00,15
2,01-00-00,1
3,01-30-00,8
4,02-00-00,1
5,02-30-00,5
6,03-00-00,4
7,03-30-00,3
8,04-00-00,1
9,04-30-00,2
10,05-00-00,0
11,05-30-00,2
12,06-00-00,0
13,06-30-00,4
14,07-00-00,11
15,07-30-00,15
16,08-00-00,26
17,08-30-00,62
18,09-00-00,116
19,09-30-00,146
20,10-00-00,67
21,10-30-00,62
22,11-00-00,40
23,11-30-00,112
24,12-00-00,161
25,12-30-00,89
26,13-00-00,147
27,13-30-00,134
28,14-00-00,61
29,14-30-00,70
30,15-00-00,69
31,15-30-00,71
32,16-00-00,67
33,16-30-00,92
34,17-00-00,134
35,17-30-00,159
36,18-00-00,112
37,18-30-00,105
38,19-00-00,100
39,19-30-00,75
40,20-00-00,44
41,20-30-00,26
42,21-00-00,17
43,21-30-00,76
44,22-00-00,84
45,22-30-00,88
46,23-00-00,45
47,23-30-00,21
