,time,value
0,00-00-00,6
1,00-30-00,3
2,01-00-00,2
3,01-30-00,5
4,02-00-00,2
5,02-30-00,4
6,03-00-00,5
7,03-30-00,0
8,04-00-00,0
9,04-30-00,1
10,05-00-00,0
11,05-30-00,1
12,06-00-00,2
13,06-30-00,0
14,07-00-00,2
15,07-30-00,5
16,08-00-00,12
17,08-30-00,28
18,09-00-00,65
19,09-30-00,60
20,10-00-00,63
21,10-30-00,56
22,11-00-00,67
23,11-30-00,105
24,12-00-00,104
25,12-30-00,110
26,13-00-00,105
27,13-30-00,83
28,14-00-00,84
29,14-30-00,61
30,15-00-00,52
31,15-30-00,44
32,16-00-00,40
33,16-30-00,63
34,17-00-00,96
35,17-30-00,106
36,18-00-00,127
37,18-30-00,101
38,19-00-00,108
39,19-30-00,84
40,20-00-00,67
41,20-30-00,57
42,21-00-00,74
43,21-30-00,54
44,22-00-00,51
45,22-30-00,69
46,23-00-00,34
47,23-30-00,21
