,time,value
0,00-00-00,0
1,00-30-00,0
2,01-00-00,0
3,01-30-00,0
4,02-00-00,1
5,02-30-00,9
6,03-00-00,2
7,03-30-00,1
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,36
15,07-30-00,84
16,08-00-00,53
17,08-30-00,51
18,09-00-00,39
19,09-30-00,112
20,10-00-00,26
21,10-30-00,20
22,11-00-00,19
23,11-30-00,35
24,12-00-00,8
25,12-30-00,5
26,13-00-00,7
27,13-30-00,11
28,14-00-00,0
29,14-30-00,20
30,15-00-00,11
31,15-30-00,28
32,16-00-00,25
33,16-30-00,14
34,17-00-00,64
35,17-30-00,80
36,18-00-00,99
37,18-30-00,28
38,19-00-00,46
39,19-30-00,58
40,20-00-00,29
41,20-30-00,50
42,21-00-00,79
43,21-30-00,76
44,22-00-00,65
45,22-30-00,70
46,23-00-00,43
47,23-30-00,19
