,time,value
0,00-00-00,3
1,00-30-00,2
2,01-00-00,4
3,01-30-00,0
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,3
14,07-00-00,13
15,07-30-00,41
16,08-00-00,112
17,08-30-00,149
18,09-00-00,133
19,09-30-00,102
20,10-00-00,69
21,10-30-00,77
22,11-00-00,62
23,11-30-00,81
24,12-00-00,86
25,12-30-00,65
26,13-00-00,72
27,13-30-00,44
28,14-00-00,38
29,14-30-00,41
30,15-00-00,57
31,15-30-00,39
32,16-00-00,40
33,16-30-00,52
34,17-00-00,79
35,17-30-00,101
36,18-00-00,159
37,18-30-00,151
38,19-00-00,102
39,19-30-00,70
40,20-00-00,58
41,20-30-00,54
42,21-00-00,47
43,21-30-00,94
44,22-00-00,49
45,22-30-00,32
46,23-00-00,16
47,23-30-00,9
