,time,value
0,00-00-00,2
1,00-30-00,3
2,01-00-00,2
3,01-30-00,1
4,02-00-00,3
5,02-30-00,2
6,03-00-00,1
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,6
14,07-00-00,17
15,07-30-00,37
16,08-00-00,118
17,08-30-00,184
18,09-00-00,130
19,09-30-00,83
20,10-00-00,84
21,10-30-00,51
22,11-00-00,71
23,11-30-00,75
24,12-00-00,98
25,12-30-00,72
26,13-00-00,47
27,13-30-00,62
28,14-00-00,46
29,14-30-00,36
30,15-00-00,32
31,15-30-00,44
32,16-00-00,30
33,16-30-00,54
34,17-00-00,83
35,17-30-00,112
36,18-00-00,131
37,18-30-00,154
38,19-00-00,76
39,19-30-00,85
40,20-00-00,47
41,20-30-00,43
42,21-00-00,47
43,21-30-00,49
44,22-00-00,55
45,22-30-00,29
46,23-00-00,24
47,23-30-00,9
