,time,value
0,00-00-00,4
1,00-30-00,6
2,01-00-00,6
3,01-30-00,3
4,02-00-00,1
5,02-30-00,5
6,03-00-00,5
7,03-30-00,4
8,04-00-00,3
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,13
15,07-30-00,105
16,08-00-00,108
17,08-30-00,105
18,09-00-00,95
19,09-30-00,128
20,10-00-00,82
21,10-30-00,61
22,11-00-00,82
23,11-30-00,93
24,12-00-00,58
25,12-30-00,84
26,13-00-00,74
27,13-30-00,101
28,14-00-00,56
29,14-30-00,94
30,15-00-00,59
31,15-30-00,102
32,16-00-00,74
33,16-30-00,50
34,17-00-00,63
35,17-30-00,115
36,18-00-00,182
37,18-30-00,69
38,19-00-00,57
39,19-30-00,49
40,20-00-00,60
41,20-30-00,61
42,21-00-00,72
43,21-30-00,72
44,22-00-00,30
45,22-30-00,27
46,23-00-00,15
47,23-30-00,15
