,time,value
0,00-00-00,6
1,00-30-00,6
2,01-00-00,3
3,01-30-00,0
4,02-00-00,4
5,02-30-00,6
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,1
10,05-00-00,1
11,05-30-00,0
12,06-00-00,0
13,06-30-00,0
14,07-00-00,3
15,07-30-00,3
16,08-00-00,1
17,08-30-00,6
18,09-00-00,7
19,09-30-00,13
20,10-00-00,9
21,10-30-00,16
22,11-00-00,14
23,11-30-00,17
24,12-00-00,12
25,12-30-00,11
26,13-00-00,10
27,13-30-00,10
28,14-00-00,6
29,14-30-00,3
30,15-00-00,14
31,15-30-00,7
32,16-00-00,11
33,16-30-00,25
34,17-00-00,12
35,17-30-00,6
36,18-00-00,7
37,18-30-00,7
38,19-00-00,18
39,19-30-00,9
40,20-00-00,4
41,20-30-00,9
42,21-00-00,10
43,21-30-00,13
44,22-00-00,6
45,22-30-00,7
46,23-00-00,4
47,23-30-00,0
