,time,value
0,00-00-00,10
1,00-30-00,30
2,01-00-00,48
3,01-30-00,30
4,02-00-00,41
5,02-30-00,22
6,03-00-00,9
7,03-30-00,7
8,04-00-00,0
9,04-30-00,2
10,05-00-00,19
11,05-30-00,13
12,06-00-00,8
13,06-30-00,5
14,07-00-00,7
15,07-30-00,23
16,08-00-00,47
17,08-30-00,91
18,09-00-00,84
19,09-30-00,87
20,10-00-00,65
21,10-30-00,44
22,11-00-00,71
23,11-30-00,61
24,12-00-00,84
25,12-30-00,74
26,13-00-00,46
27,13-30-00,54
28,14-00-00,39
29,14-30-00,38
30,15-00-00,111
31,15-30-00,44
32,16-00-00,43
33,16-30-00,44
34,17-00-00,51
35,17-30-00,63
36,18-00-00,66
37,18-30-00,53
38,19-00-00,37
39,19-30-00,33
40,20-00-00,29
41,20-30-00,82
42,21-00-00,54
43,21-30-00,36
44,22-00-00,26
45,22-30-00,43
46,23-00-00,35
47,23-30-00,8
