,time,value
0,00-00-00,11
1,00-30-00,16
2,01-00-00,4
3,01-30-00,2
4,02-00-00,14
5,02-30-00,2
6,03-00-00,20
7,03-30-00,1
8,04-00-00,1
9,04-30-00,12
10,05-00-00,14
11,05-30-00,0
12,06-00-00,0
13,06-30-00,4
14,07-00-00,9
15,07-30-00,18
16,08-00-00,36
17,08-30-00,69
18,09-00-00,65
19,09-30-00,60
20,10-00-00,51
21,10-30-00,42
22,11-00-00,35
23,11-30-00,50
24,12-00-00,58
25,12-30-00,49
26,13-00-00,32
27,13-30-00,34
28,14-00-00,32
29,14-30-00,43
30,15-00-00,23
31,15-30-00,44
32,16-00-00,23
33,16-30-00,31
34,17-00-00,61
35,17-30-00,83
36,18-00-00,101
37,18-30-00,54
38,19-00-00,71
39,19-30-00,41
40,20-00-00,31
41,20-30-00,21
42,21-00-00,19
43,21-30-00,32
44,22-00-00,28
45,22-30-00,37
46,23-00-00,26
47,23-30-00,10
