,time,value
0,00-00-00,8
1,00-30-00,5
2,01-00-00,3
3,01-30-00,8
4,02-00-00,3
5,02-30-00,2
6,03-00-00,0
7,03-30-00,2
8,04-00-00,0
9,04-30-00,0
10,05-00-00,3
11,05-30-00,0
12,06-00-00,4
13,06-30-00,0
14,07-00-00,15
15,07-30-00,58
16,08-00-00,113
17,08-30-00,71
18,09-00-00,66
19,09-30-00,170
20,10-00-00,73
21,10-30-00,72
22,11-00-00,61
23,11-30-00,117
24,12-00-00,40
25,12-30-00,48
26,13-00-00,71
27,13-30-00,83
28,14-00-00,86
29,14-30-00,101
30,15-00-00,47
31,15-30-00,87
32,16-00-00,39
33,16-30-00,71
34,17-00-00,87
35,17-30-00,111
36,18-00-00,114
37,18-30-00,52
38,19-00-00,62
39,19-30-00,67
40,20-00-00,62
41,20-30-00,56
42,21-00-00,40
43,21-30-00,69
44,22-00-00,37
45,22-30-00,18
46,23-00-00,15
47,23-30-00,10
