,time,value
0,00-00-00,1
1,00-30-00,1
2,01-00-00,0
3,01-30-00,1
4,02-00-00,0
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,1
11,05-30-00,0
12,06-00-00,3
13,06-30-00,2
14,07-00-00,6
15,07-30-00,20
16,08-00-00,34
17,08-30-00,44
18,09-00-00,28
19,09-30-00,27
20,10-00-00,16
21,10-30-00,12
22,11-00-00,25
23,11-30-00,56
24,12-00-00,51
25,12-30-00,34
26,13-00-00,49
27,13-30-00,34
28,14-00-00,17
29,14-30-00,27
30,15-00-00,27
31,15-30-00,11
32,16-00-00,31
33,16-30-00,26
34,17-00-00,44
35,17-30-00,70
36,18-00-00,71
37,18-30-00,51
38,19-00-00,23
39,19-30-00,22
40,20-00-00,19
41,20-30-00,19
42,21-00-00,26
43,21-30-00,22
44,22-00-00,23
45,22-30-00,20
46,23-00-00,10
47,23-30-00,5
