,time,value
0,00-00-00,4
1,00-30-00,4
2,01-00-00,4
3,01-30-00,5
4,02-00-00,1
5,02-30-00,2
6,03-00-00,4
7,03-30-00,3
8,04-00-00,4
9,04-30-00,2
10,05-00-00,2
11,05-30-00,0
12,06-00-00,2
13,06-30-00,4
14,07-00-00,0
15,07-30-00,9
16,08-00-00,10
17,08-30-00,27
18,09-00-00,32
19,09-30-00,27
20,10-00-00,13
21,10-30-00,18
22,11-00-00,14
23,11-30-00,26
24,12-00-00,48
25,12-30-00,47
26,13-00-00,51
27,13-30-00,49
28,14-00-00,27
29,14-30-00,13
30,15-00-00,27
31,15-30-00,27
32,16-00-00,34
33,16-30-00,33
34,17-00-00,31
35,17-30-00,29
36,18-00-00,39
37,18-30-00,32
38,19-00-00,36
39,19-30-00,19
40,20-00-00,4
41,20-30-00,3
42,21-00-00,8
43,21-30-00,9
44,22-00-00,4
45,22-30-00,8
46,23-00-00,8
47,23-30-00,6
