,time,value
0,00-00-00,4
1,00-30-00,5
2,01-00-00,0
3,01-30-00,2
4,02-00-00,2
5,02-30-00,2
6,03-00-00,0
7,03-30-00,1
8,04-00-00,0
9,04-30-00,2
10,05-00-00,0
11,05-30-00,0
12,06-00-00,2
13,06-30-00,0
14,07-00-00,2
15,07-30-00,5
16,08-00-00,6
17,08-30-00,8
18,09-00-00,16
19,09-30-00,18
20,10-00-00,20
21,10-30-00,9
22,11-00-00,7
23,11-30-00,14
24,12-00-00,15
25,12-30-00,16
26,13-00-00,21
27,13-30-00,15
28,14-00-00,10
29,14-30-00,7
30,15-00-00,21
31,15-30-00,12
32,16-00-00,10
33,16-30-00,19
34,17-00-00,31
35,17-30-00,11
36,18-00-00,30
37,18-30-00,25
38,19-00-00,14
39,19-30-00,21
40,20-00-00,18
41,20-30-00,12
42,21-00-00,23
43,21-30-00,9
44,22-00-00,27
45,22-30-00,12
46,23-00-00,8
47,23-30-00,5
