,time,value
0,00-00-00,10
1,00-30-00,2
2,01-00-00,1
3,01-30-00,0
4,02-00-00,0
5,02-30-00,1
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,2
12,06-00-00,1
13,06-30-00,0
14,07-00-00,5
15,07-30-00,18
16,08-00-00,34
17,08-30-00,48
18,09-00-00,50
19,09-30-00,46
20,10-00-00,23
21,10-30-00,27
22,11-00-00,24
23,11-30-00,30
24,12-00-00,43
25,12-30-00,37
26,13-00-00,29
27,13-30-00,32
28,14-00-00,15
29,14-30-00,16
30,15-00-00,21
31,15-30-00,25
32,16-00-00,16
33,16-30-00,34
34,17-00-00,42
35,17-30-00,31
36,18-00-00,34
37,18-30-00,48
38,19-00-00,42
39,19-30-00,32
40,20-00-00,9
41,20-30-00,12
42,21-00-00,18
43,21-30-00,13
44,22-00-00,13
45,22-30-00,9
46,23-00-00,10
47,23-30-00,2
