,time,value
0,00-00-00,5
1,00-30-00,1
2,01-00-00,0
3,01-30-00,0
4,02-00-00,2
5,02-30-00,4
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,1
14,07-00-00,3
15,07-30-00,6
16,08-00-00,60
17,08-30-00,25
18,09-00-00,24
19,09-30-00,21
20,10-00-00,25
21,10-30-00,13
22,11-00-00,6
23,11-30-00,30
24,12-00-00,24
25,12-30-00,23
26,13-00-00,15
27,13-30-00,14
28,14-00-00,6
29,14-30-00,9
30,15-00-00,6
31,15-30-00,18
32,16-00-00,22
33,16-30-00,29
34,17-00-00,14
35,17-30-00,30
36,18-00-00,21
37,18-30-00,7
38,19-00-00,16
39,19-30-00,22
40,20-00-00,14
41,20-30-00,11
42,21-00-00,7
43,21-30-00,13
44,22-00-00,3
45,22-30-00,7
46,23-00-00,5
47,23-30-00,2
