,time,value
0,00-00-00,0
1,00-30-00,5
2,01-00-00,3
3,01-30-00,0
4,02-00-00,3
5,02-30-00,6
6,03-00-00,0
7,03-30-00,0
8,04-00-00,2
9,04-30-00,0
10,05-00-00,0
11,05-30-00,2
12,06-00-00,0
13,06-30-00,0
14,07-00-00,3
15,07-30-00,19
16,08-00-00,24
17,08-30-00,27
18,09-00-00,25
19,09-30-00,58
20,10-00-00,23
21,10-30-00,13
22,11-00-00,35
23,11-30-00,66
24,12-00-00,33
25,12-30-00,15
26,13-00-00,11
27,13-30-00,4
28,14-00-00,20
29,14-30-00,28
30,15-00-00,34
31,15-30-00,53
32,16-00-00,15
33,16-30-00,24
34,17-00-00,40
35,17-30-00,65
36,18-00-00,38
37,18-30-00,41
38,19-00-00,36
39,19-30-00,20
40,20-00-00,19
41,20-30-00,26
42,21-00-00,29
43,21-30-00,14
44,22-00-00,28
45,22-30-00,8
46,23-00-00,17
47,23-30-00,3
