,time,value
0,00-00-00,8
1,00-30-00,3
2,01-00-00,3
3,01-30-00,2
4,02-00-00,0
5,02-30-00,2
6,03-00-00,0
7,03-30-00,0
8,04-00-00,2
9,04-30-00,0
10,05-00-00,3
11,05-30-00,2
12,06-00-00,3
13,06-30-00,10
14,07-00-00,28
15,07-30-00,70
16,08-00-00,170
17,08-30-00,261
18,09-00-00,159
19,09-30-00,110
20,10-00-00,144
21,10-30-00,90
22,11-00-00,151
23,11-30-00,135
24,12-00-00,150
25,12-30-00,161
26,13-00-00,93
27,13-30-00,116
28,14-00-00,85
29,14-30-00,88
30,15-00-00,74
31,15-30-00,103
32,16-00-00,81
33,16-30-00,163
34,17-00-00,124
35,17-30-00,247
36,18-00-00,199
37,18-30-00,160
38,19-00-00,169
39,19-30-00,123
40,20-00-00,92
41,20-30-00,97
42,21-00-00,101
43,21-30-00,107
44,22-00-00,82
45,22-30-00,70
46,23-00-00,31
47,23-30-00,9
