,time,value
0,00-00-00,10
1,00-30-00,2
2,01-00-00,2
3,01-30-00,1
4,02-00-00,3
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,2
10,05-00-00,2
11,05-30-00,1
12,06-00-00,1
13,06-30-00,7
14,07-00-00,18
15,07-30-00,65
16,08-00-00,159
17,08-30-00,173
18,09-00-00,152
19,09-30-00,142
20,10-00-00,70
21,10-30-00,80
22,11-00-00,103
23,11-30-00,102
24,12-00-00,85
25,12-30-00,128
26,13-00-00,91
27,13-30-00,107
28,14-00-00,59
29,14-30-00,61
30,15-00-00,66
31,15-30-00,73
32,16-00-00,87
33,16-30-00,75
34,17-00-00,66
35,17-30-00,168
36,18-00-00,282
37,18-30-00,219
38,19-00-00,207
39,19-30-00,125
40,20-00-00,86
41,20-30-00,69
42,21-00-00,117
43,21-30-00,81
44,22-00-00,98
45,22-30-00,42
46,23-00-00,21
47,23-30-00,5
