,time,value
0,00-00-00,11
1,00-30-00,8
2,01-00-00,8
3,01-30-00,3
4,02-00-00,0
5,02-30-00,10
6,03-00-00,0
7,03-30-00,1
8,04-00-00,1
9,04-30-00,1
10,05-00-00,1
11,05-30-00,2
12,06-00-00,2
13,06-30-00,13
14,07-00-00,69
15,07-30-00,79
16,08-00-00,105
17,08-30-00,105
18,09-00-00,155
19,09-30-00,152
20,10-00-00,116
21,10-30-00,125
22,11-00-00,110
23,11-30-00,133
24,12-00-00,126
25,12-30-00,109
26,13-00-00,79
27,13-30-00,83
28,14-00-00,78
29,14-30-00,111
30,15-00-00,137
31,15-30-00,128
32,16-00-00,94
33,16-30-00,99
34,17-00-00,111
35,17-30-00,104
36,18-00-00,60
37,18-30-00,92
38,19-00-00,62
39,19-30-00,76
40,20-00-00,57
41,20-30-00,56
42,21-00-00,70
43,21-30-00,84
44,22-00-00,60
45,22-30-00,50
46,23-00-00,24
47,23-30-00,23
