,time,value
0,00-00-00,8
1,00-30-00,6
2,01-00-00,0
3,01-30-00,2
4,02-00-00,4
5,02-30-00,2
6,03-00-00,1
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,0
11,05-30-00,0
12,06-00-00,0
13,06-30-00,2
14,07-00-00,64
15,07-30-00,34
16,08-00-00,16
17,08-30-00,8
18,09-00-00,35
19,09-30-00,36
20,10-00-00,19
21,10-30-00,29
22,11-00-00,31
23,11-30-00,59
24,12-00-00,78
25,12-30-00,41
26,13-00-00,54
27,13-30-00,41
28,14-00-00,47
29,14-30-00,45
30,15-00-00,43
31,15-30-00,47
32,16-00-00,42
33,16-30-00,40
34,17-00-00,60
35,17-30-00,84
36,18-00-00,58
37,18-30-00,67
38,19-00-00,41
39,19-30-00,34
40,20-00-00,138
41,20-30-00,44
42,21-00-00,160
43,21-30-00,33
44,22-00-00,123
45,22-30-00,31
46,23-00-00,21
47,23-30-00,10
