,time,value
0,00-00-00,9
1,00-30-00,13
2,01-00-00,2
3,01-30-00,3
4,02-00-00,3
5,02-30-00,3
6,03-00-00,0
7,03-30-00,0
8,04-00-00,0
9,04-30-00,0
10,05-00-00,4
11,05-30-00,0
12,06-00-00,3
13,06-30-00,15
14,07-00-00,52
15,07-30-00,75
16,08-00-00,111
17,08-30-00,147
18,09-00-00,135
19,09-30-00,133
20,10-00-00,76
21,10-30-00,67
22,11-00-00,61
23,11-30-00,112
24,12-00-00,108
25,12-30-00,105
26,13-00-00,91
27,13-30-00,118
28,14-00-00,91
29,14-30-00,80
30,15-00-00,75
31,15-30-00,79
32,16-00-00,62
33,16-30-00,86
34,17-00-00,109
35,17-30-00,154
36,18-00-00,226
37,18-30-00,202
38,19-00-00,138
39,19-30-00,110
40,20-00-00,83
41,20-30-00,75
42,21-00-00,74
43,21-30-00,90
44,22-00-00,59
45,22-30-00,41
46,23-00-00,22
47,23-30-00,7
