,time,value
0,00-00-00,6
1,00-30-00,6
2,01-00-00,4
3,01-30-00,1
4,02-00-00,2
5,02-30-00,1
6,03-00-00,1
7,03-30-00,2
8,04-00-00,0
9,04-30-00,1
10,05-00-00,3
11,05-30-00,0
12,06-00-00,4
13,06-30-00,8
14,07-00-00,39
15,07-30-00,279
16,08-00-00,227
17,08-30-00,141
18,09-00-00,101
19,09-30-00,141
20,10-00-00,68
21,10-30-00,89
22,11-00-00,60
23,11-30-00,90
24,12-00-00,120
25,12-30-00,129
26,13-00-00,77
27,13-30-00,87
28,14-00-00,64
29,14-30-00,61
30,15-00-00,98
31,15-30-00,174
32,16-00-00,100
33,16-30-00,70
34,17-00-00,83
35,17-30-00,167
36,18-00-00,189
37,18-30-00,198
38,19-00-00,130
39,19-30-00,124
40,20-00-00,118
41,20-30-00,156
42,21-00-00,173
43,21-30-00,230
44,22-00-00,174
45,22-30-00,100
46,23-00-00,64
47,23-30-00,31
