,time,value
0,00-00-00,13
1,00-30-00,6
2,01-00-00,1
3,01-30-00,2
4,02-00-00,1
5,02-30-00,0
6,03-00-00,0
7,03-30-00,0
8,04-00-00,1
9,04-30-00,0
10,05-00-00,2
11,05-30-00,1
12,06-00-00,1
13,06-30-00,5
14,07-00-00,50
15,07-30-00,57
16,08-00-00,101
17,08-30-00,60
18,09-00-00,39
19,09-30-00,50
20,10-00-00,23
21,10-30-00,44
22,11-00-00,16
23,11-30-00,30
24,12-00-00,17
25,12-30-00,34
26,13-00-00,14
27,13-30-00,10
28,14-00-00,17
29,14-30-00,9
30,15-00-00,11
31,15-30-00,16
32,16-00-00,31
33,16-30-00,30
34,17-00-00,18
35,17-30-00,76
36,18-00-00,81
37,18-30-00,54
38,19-00-00,79
39,19-30-00,78
40,20-00-00,42
41,20-30-00,61
42,21-00-00,142
43,21-30-00,104
44,22-00-00,76
45,22-30-00,58
46,23-00-00,60
47,23-30-00,34
